optimized_group_id,headword,source_count,source_words,added_count,added_forms,memory_word_count,all_memory_words,source_group_id,decision,root_affix,group_explanation,memory_link,mnemonic,collocations,related_recommendations,definitions
O0001,abolish,1,abolish,2,"abolition, abolitionist",3,"abolish, abolition, abolitionist",D0001,kept,,,,,,,abolish: vt. 废除，废止；取消，革除
O0002,abrupt,1,abrupt,2,"abruptly, abruptness",3,"abrupt, abruptly, abruptness",D0002,kept,,,,,,,abrupt: adj. 生硬的；突然的；唐突的；陡峭的
O0003,absolutely,1,absolutely,0,,1,absolutely,D0003,kept,,,,,,,absolutely: adv. 绝对地；完全地
O0004,abstract,1,abstract,0,,1,abstract,D0004,kept,,,,,,,abstract: adj. 纯理论的；抽象的；抽象派的n. 摘要；抽象；抽象的概念；抽象派艺术作品v. 摘要；提取；抽象化；退出；转移；使心不在焉
O0005,abundance,1,abundance,0,,1,abundance,D0005,kept,,,,,,,abundance: n. 充裕，丰富
O0006,academic,1,academic,0,,1,academic,D0006,kept,,,,,,,academic: adj. 学术的；理论的；学院的n. 大学生，大学教师；学者
O0007,accelerate,2,"accelerate, acceleration",0,,2,"accelerate, acceleration",D0007,kept,词根 celer=快速，ac-加强,accelerate是动词“加速”，acceleration是名词“加速；加速度”，同词族名词派生。,司机踩下油门让汽车加速(accelerate)，速度表显示加速度(acceleration)的数值。,加速(accelerate)产生加速度(acceleration)。,accelerate growth - 加速增长 | economic acceleration - 经济加速,decelerate（减速）为反义词，注意拼写对称,accelerate: vt. 使……加快；使……增速vi. 加速；促进；增加 | acceleration: n. 加速，促进；[物] 加速度；跳级
O0008,acceptable,2,"acceptable, acceptance",0,,2,"acceptable, acceptance",D0008,kept,词根 cept=take，ac-加强,两者均源于accept，“acceptable可接受的”为形容词，“acceptance接纳”为名词。,求职者希望简历能被接受(acceptance)，因此努力成为可接受的(acceptable)候选人。,被接受(acceptance)是因为你可接受(acceptable)。,acceptable behavior - 可接受的行为 | social acceptance - 社会接纳,辨析：except（除…外）同词根但前缀不同，意思相反,acceptable: adj. 可接受的；合意的；可忍受的 | acceptance: n. 接纳；赞同；容忍
O0009,accessory,1,accessory,0,,1,accessory,D0009,kept,,,,,,,accessory: n. 配件；附件；[法] 从犯adj. 副的；同谋的；附属的
O0010,accidental,1,accidental,0,,1,accidental,D0010,kept,,,,,,,accidental: adj. 意外的；偶然的；附属的；临时记号的n. 次要方面；非主要的特性；临时记号
O0011,accommodate,2,"accommodate, accommodation",0,,2,"accommodate, accommodation",D0011,kept,词根 mod=measure/fit，ac+com+mod+ate→使适合,accommodate动词“容纳；使适应”，accommodation名词“住处；调节”，酒店场景中两者紧密关联。,酒店提供住宿(accommodation)来容纳(accommodate)大量游客。,容纳(accommodate)并提供住宿(accommodation)。,accommodate guests - 接待客人 | student accommodation - 学生住宿 | accommodate new ideas - 接纳新思想,commodity（商品）同词根mod，分享“适合”的含义,accommodate: vt. 容纳；使适应；供应；调解vi. 适应；调解 | accommodation: n. 住处，膳宿；调节；和解；预订铺位
O0012,accord,3,"accord, accordance, accordingly",1,accordant,4,"accord, accordance, accordingly, accordant",D0012,kept,词根 cord=heart，ac-加强→内心一致,accord名词/动词“一致；给予”，accordance名词“按照；一致”，accordingly副词“相应地”，为同源派生链条。,双方达成一致(accord)并签协议，因此(in accordance with)协议执行，行动也相应地(accordingly)开展。,一致(accord)达成协议，因此行动一致地(accordingly)。,in accordance with - 按照，依据 | act accordingly - 照此行动 | reach an accord - 达成一致,concord（和谐）同词根cord，discord（不和）为反义,accord: n. 符合；一致；协议；自愿vt. 使一致；给予vi. 符合；一致 | accordance: n. 按照，依据；一致，和谐 | accordingly: adv. 因此，于是；相应地；照着
O0013,accumulate,1,accumulate,0,,1,accumulate,D0013,kept,,,,,,,accumulate: vi. 累积；积聚vt. 积攒
O0014,accurate,1,accurate,0,,1,accurate,D0014,kept,,,,,,,accurate: adj. 精确的
O0015,accustom,2,"accustom, accustomed",0,,2,"accustom, accustomed",D0015,kept,词根 custom=习惯，ac-加强,accustom动词“使习惯于”，accustomed形容词“习惯的”（过去分词演变），常用结构accustom oneself to / be accustomed to。,新兵被训练以适应(accustom)冷天气，最后变得习惯于(accustomed)严寒。,习惯(accustom)了就成了习惯于(accustomed)。,accustom oneself to - 使自己习惯于 | be accustomed to - 习惯于,custom（风俗）和customer（顾客）为同源词，都来自“习惯”,accustom: v. 使习惯于，使适应 | accustomed: adj. 习惯的；通常的；独有的v. 使习惯于（accustom的过去分词）
O0016,achievement,1,achievement,0,,1,achievement,D0016,kept,,,,,,,achievement: n. 成就；完成；达到；成绩
O0017,acquaint,2,"acquaint, acquaintance",0,,2,"acquaint, acquaintance",D0017,kept,词根 quaint=know，ac-加强→使知道,acquaint动词“使熟悉”，acquaintance名词“熟人；相识”，为动-名派生。,朋友介绍你认识(acquaint)了一个人，他就成了你的新熟人(acquaintance)。,认识(acquaint)后就成了熟人(acquaintance)。,acquaint with - 使认识，使了解 | a passing acquaintance - 点头之交 | make the acquaintance of - 与…结识,注意拼写：quit离开，quiet安静，acquaint中quaint保留,acquaint: vt. 使熟悉；使认识 | acquaintance: n. 熟人；相识；了解；知道
O0018,acquisition,1,acquisition,0,,1,acquisition,D0018,kept,,,,,,,acquisition: n. 获得物，获得；收购
O0019,activate,2,"activate, activity",0,,2,"activate, activity",D0019,kept,词根 act=do/drive，-ivate使动，-ity名词,activate动词“激活；使活动”，activity名词“活动”，由行动词根派生。,按下开关激活(activate)整台机器，车间立刻充满生产活动(activity)。,激活(activate)活动(activity)。,activate the alarm - 激活警报 | physical activity - 身体活动,reaction（反应），interaction（互动）也含词根act,activate: vt. 刺激；使活动；使活泼；使产生放射性vi. 激活；有活力 | activity: n. 活动；行动；活跃
O0020,actually,1,actually,0,,1,actually,D0020,kept,,,,,,,actually: adv. 实际上；事实上
O0021,addition,2,"addition, additional",0,,2,"addition, additional",D0021,kept,词根 add=加，-ition名词，-al形容词,addition名词“添加”，additional形容词“附加的”，来自add的派生词。,购物车里添加(in addition)一件商品，账单上就会多出一项额外的(additional)费用。,添加(addition)附加的(additional)。,in addition to - 除…之外还 | additional cost - 额外成本,additive（添加剂）同源，注意addiction（成瘾）词根不同,addition: n. 添加；[数] 加法；增加物 | additional: adj. 附加的，额外的
O0022,adequate,1,adequate,0,,1,adequate,D0022,kept,,,,,,,adequate: adj. 充足的；适当的；胜任的
O0023,adhere,1,adhere,0,,1,adhere,D0023,kept,,,,,,,adhere: vi. 坚持；依附；粘着；追随vt. 使粘附
O0024,adjacent,1,adjacent,0,,1,adjacent,D0024,kept,,,,,,,adjacent: adj. 邻近的，毗连的
O0025,adjective,1,adjective,0,,1,adjective,D0025,kept,,,,,,,adjective: adj. 形容词的；从属的n. 形容词
O0026,adjoin,1,adjoin,0,,1,adjoin,D0026,kept,,,,,,,adjoin: vi. 毗连，邻接vt. 毗连，邻接
O0027,administer,2,"administer, administration",0,,2,"administer, administration",D0027,kept,词根 minister=servant，ad-加强→从事服务→管理,administer动词“管理；执行”，administration名词“管理；行政机构”，常见于政府或商业场景。,市长管理(administer)市政，整个行政(administration)班子高效运转。,管理(administer)行政(administration)。,administer justice - 执法 | business administration - 企业管理,minister（部长），ministry（部委）同源,administer: vt. 管理；执行；给予vi. 给予帮助；执行遗产管理人的职责；担当管理人 | administration: n. 管理；行政；实施；行政机构
O0028,admission,1,admission,0,,1,admission,D0028,kept,,,,,,,admission: n. 承认；入场费；进入许可；坦白；录用
O0029,adolescent,1,adolescent,0,,1,adolescent,D0029,kept,,,,,,,adolescent: adj. 青春期的；未成熟的n. 青少年
O0030,advanced,1,advanced,0,,1,advanced,D0030,kept,,,,,,,advanced: adj. 先进的；高级的；晚期的；年老的v. 前进；增加；上涨（advance的过去式和过去分词形式）
O0031,advent,1,advent,0,,1,advent,D0031,kept,,,,,,,advent: n. 到来；出现；基督降临；基督降临节
O0032,adverb,1,adverb,0,,1,adverb,D0032,kept,,,,,,,adverb: n. 副词adj. 副词的
O0033,adverse,1,adverse,0,,1,adverse,D0033,kept,,,,,,,adverse: adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
O0034,advertise,2,"advertise, advertisement",0,,2,"advertise, advertisement",D0034,kept,-advert- 转向；-ise 动词后缀；-ment 名词后缀,advertise 是动词“做广告”，advertisement 是其名词形式“广告”。,商家通过广告让消费者注意力转向他们的产品。,广告让你转向注意产品，动词advertise变名词加ment。,advertise a product - 为产品做广告 | place an advertisement - 刊登广告,commercial (商业广告) 辨析,advertise: vt. 通知；为…做广告；使突出vi. 做广告，登广告；作宣传 | advertisement: n. 广告，宣传
O0035,advisable,1,advisable,0,,1,advisable,D0035,kept,,,,,,,advisable: adj. 明智的，可取的，适当的
O0036,advocate,1,advocate,0,,1,advocate,D0036,kept,,,,,,,advocate: v. 提倡，拥护；为……辩护n. 拥护者；辩护者；辩护律师，出庭律师；律师；为（某团体）谋利益者
O0037,aero,3,"aerial, aero, aeroplane",0,,3,"aerial, aero, aeroplane",D0037,kept,aero- / aer- 空气，航空,aero 是形容词“航空的”，aeroplane 是“飞机”，aerial 是“空中的”或“天线”。均与空气、飞行相关。,想象一架飞机(aeroplane)在空中(aerial)飞行，属于航空(aero)领域。,aero航空，plane飞机，aerial空中的天线，都是空中的东西。,aero engine - 航空发动机 | by aeroplane - 乘飞机 | aerial view - 鸟瞰图,aviation (航空) 扩展,"aerial: adj. 空中的，航空的；空气的；空想的n. [电讯] 天线 | aero: adj.航空的,飞行的,飞机的 | aeroplane: n. 飞机（等于airplane）"
O0038,aesthetic,1,aesthetic,0,,1,aesthetic,D0038,kept,,,,,,,aesthetic: adj. 美的；美学的；审美的，具有审美趣味的n. 审美；美学
O0039,affection,1,affection,0,,1,affection,D0039,kept,,,,,,,affection: n. 喜爱，感情；影响；感染
O0040,affiliate,1,affiliate,0,,1,affiliate,D0040,kept,,,,,,,affiliate: v. （使）附属，隶属；加入，加盟，并入；接纳；紧密联系n. 分支机构；子公司；分社；联号
O0041,affirm,1,affirm,0,,1,affirm,D0041,kept,,,,,,,affirm: vt. 肯定；断言vi. 确认；断言
O0042,afflict,1,afflict,0,,1,afflict,D0042,kept,,,,,,,afflict: vt. 折磨；使痛苦；使苦恼
O0043,aggravate,1,aggravate,0,,1,aggravate,D0043,kept,,,,,,,aggravate: vt. 加重；使恶化；激怒
O0044,aggressive,1,aggressive,0,,1,aggressive,D0044,kept,,,,,,,aggressive: adj. 侵略性的；好斗的；有进取心的；有闯劲的
O0045,agitation,1,agitation,0,,1,agitation,D0045,kept,,,,,,,agitation: n. 激动；搅动；煽动；烦乱
O0046,agony,1,agony,0,,1,agony,D0046,kept,,,,,,,agony: n. 苦恼；极大的痛苦；临死的挣扎
O0047,agree,2,"agreeable, agreement",0,,2,"agreeable, agreement",D0047,kept,agree 同意；-able 形容词后缀表示“能…的”；-ment 名词后缀,agreeable 意为“令人愉快的”或“可同意的”，agreement 意为“协议；一致”。均来自 agree。,两个人意见一致(agree)，达成协议(agreement)，相处愉快(agreeable)。,同意(agree)达成协议(agreement)，事情变愉快(agreeable)。,agreeable weather - 宜人的天气 | reach an agreement - 达成协议,consent (同意) 近义词,agreeable: adj. 令人愉快的；适合的；和蔼可亲的 | agreement: n. 协议；同意，一致
O0048,ai,1,ai,0,,1,ai,D0048,kept,,,,,,,ai: abbr. 人工智能（artificial intelligence）
O0049,airline,1,airline,0,,1,airline,D0049,kept,,,,,,,airline: n. 航空公司；航线adj. 航线的
O0050,alert,1,alert,0,,1,alert,D0050,kept,,,,,,,"alert: adj.提防的,警惕的n.警惕,警报"
O0051,alien,1,alien,0,,1,alien,D0051,kept,,,,,,,alien: adj. 外国的；相异的，性质不同的；不相容的n. 外国人，外侨；外星人vt. 让渡，转让n. (Alien)人名；(法)阿利安
O0052,allege,1,allege,0,,1,allege,D0052,kept,,,,,,,allege: vt. 宣称，断言；提出…作为理由
O0053,alleviate,1,alleviate,0,,1,alleviate,D0053,kept,,,,,,,alleviate: vt. 减轻，缓和
O0054,ally,2,"alliance, ally",0,,2,"alliance, ally",D0054,kept,al- = ad- 朝向；-ly- / -li- 结合 (源自拉丁语 ligare),ally 是“同盟者”或“使结盟”，alliance 是“联盟”名词形式。,国家之间结盟(ally)形成联盟(alliance)共同抗敌。,ally结盟，alliance联盟，一起抗敌。,ally with - 与…结盟 | form an alliance - 结成联盟,coalition (联合) 辨析,alliance: n. 联盟，联合；联姻 | ally: n. 同盟国；伙伴；同盟者；助手vt. 使联盟；使联合vi. 联合；结盟n. (Ally)人名；(巴基)阿利；(法)阿利；(英)艾丽(女子教名 Alice 的简称)；(尼日利)阿利
O0055,allocate,1,allocate,0,,1,allocate,D0055,kept,,,,,,,allocate: vt. 分配；拨出vi. 分配；指定
O0056,allowance,1,allowance,0,,1,allowance,D0056,kept,,,,,,,allowance: n. 津贴，零用钱；允许；限额vt. 定量供应
O0057,alloy,1,alloy,0,,1,alloy,D0057,kept,,,,,,,alloy: n. 合金v. 把……铸成合金；使……减低成色n. (Alloy) （美、法、英、巴、加）阿洛伊（人名）
O0058,alter,3,"alter, alternate, alternative",0,,3,"alter, alternate, alternative",D0058,kept,alter- 改变，轮流,alter 指“改变”，alternate 指“轮流，交替”，alternative 指“替代的，供选择的东西”。,改变(alter)常规，采取轮流(alternate)方式，提供替代方案(alternative)。,alter改变成alternate轮流，提供alternative选择。,alter one's mind - 改变主意 | alternate between - 交替 | alternative energy - 替代能源,"change, vary 辨析","alter: vt. 改变，更改vi. 改变；修改n. （Alter）（美、德）阿尔特（人名） | alternate: adj.交替的,轮流的,预备的v.交替,轮流,改变 | alternative: adj. 供选择的；选择性的；交替的n. 二中择一；供替代的选择"
O0059,aluminium,1,aluminium,0,,1,aluminium,D0059,kept,,,,,,,aluminium: n. 铝adj. 铝的
O0060,ambiguous,1,ambiguous,0,,1,ambiguous,D0060,kept,,,,,,,ambiguous: adj. 模糊不清的，模棱两可的；不明确的，不明朗的；引起歧义的
